"newdf$TIME","newdf$MMSI"
2020-01-01,39
2020-01-02,44
2020-01-03,54
2020-01-04,48
2020-01-05,50
2020-01-06,46
2020-01-07,57
2020-01-08,55
2020-01-09,42
2020-01-10,48
2020-01-11,56
2020-01-12,44
2020-01-13,45
2020-01-14,47
2020-01-15,49
2020-01-16,58
2020-01-17,44
2020-01-18,51
2020-01-19,43
2020-01-20,44
2020-01-21,47
2020-01-22,56
2020-01-23,50
2020-01-24,50
2020-01-25,41
2020-01-26,43
2020-01-27,38
2020-01-28,54
2020-01-29,54
2020-01-30,43
2020-01-31,49
2020-02-01,55
2020-02-02,55
2020-02-03,42
2020-02-04,51
2020-02-05,42
2020-02-06,41
2020-02-07,48
2020-02-08,51
2020-02-09,57
2020-02-10,49
2020-02-11,52
2020-02-12,46
2020-02-13,47
2020-02-14,43
2020-02-15,58
2020-02-16,47
2020-02-17,48
2020-02-18,47
2020-02-19,43
2020-02-20,49
2020-02-21,38
2020-02-22,49
2020-02-23,29
2020-02-24,30
2020-02-25,33
2020-02-26,28
2020-02-27,33
2020-02-28,43
2020-02-29,38
2020-03-01,33
2020-03-02,28
2020-03-03,48
2020-03-04,47
2020-03-05,36
2020-03-06,47
2020-03-07,43
2020-03-08,47
2020-03-09,36
2020-03-10,41
2020-03-11,56
2020-03-12,46
2020-03-13,43
2020-03-14,50
2020-03-15,46
2020-03-16,43
2020-03-17,48
2020-03-18,58
2020-03-19,43
2020-03-20,42
2020-03-21,41
2020-03-22,39
2020-03-23,35
2020-03-24,53
2020-03-25,44
2020-03-26,41
2020-03-27,40
2020-03-28,48
2020-03-29,46
2020-03-30,50
2020-03-31,53
2020-04-01,45
2020-04-02,42
2020-04-03,26
2020-04-04,26
2020-04-05,43
2020-04-06,46
2020-04-07,38
2020-04-08,37
2020-04-09,42
2020-04-10,51
2020-04-11,48
2020-04-12,46
2020-04-13,42
2020-04-14,50
2020-04-15,39
2020-04-16,43
2020-04-17,40
2020-04-18,40
2020-04-19,43
2020-04-20,43
2020-04-21,39
2020-04-22,26
2020-04-23,40
2020-04-24,31
2020-04-25,39
2020-04-26,25
2020-04-27,42
2020-04-28,39
2020-04-29,46
2020-04-30,33
2020-05-01,44
2020-05-02,41
2020-05-03,32
2020-05-04,37
2020-05-05,35
2020-05-06,43
2020-05-07,41
2020-05-08,48
2020-05-09,37
2020-05-10,42
2020-05-11,53
2020-05-12,48
2020-05-13,37
2020-05-14,40
2020-05-15,39
2020-05-16,41
2020-05-17,31
2020-05-18,48
2020-05-19,42
2020-05-20,38
2020-05-21,42
2020-05-22,37
2020-05-23,52
2020-05-24,43
2020-05-25,35
2020-05-26,34
2020-05-27,40
2020-05-28,43
2020-05-29,32
2020-05-30,46
2020-05-31,41
2020-06-01,45
2020-06-02,43
2020-06-03,31
2020-06-04,45
2020-06-05,38
2020-06-06,31
2020-06-07,44
2020-06-08,42
2020-06-09,41
2020-06-10,45
2020-06-11,47
2020-06-12,49
2020-06-13,41
2020-06-14,37
2020-06-15,36
2020-06-16,39
2020-06-17,52
2020-06-18,39
2020-06-19,38
2020-06-20,50
2020-06-21,40
2020-06-22,36
2020-06-23,29
2020-06-24,39
2020-06-25,45
2020-06-26,44
2020-06-27,39
2020-06-28,43
2020-06-29,54
2020-06-30,54
